,Long-Only
ADANIENT.NS,0.0052
ADANIPORTS.NS,0.0
APOLLOHOSP.NS,0.0
ASIANPAINT.NS,0.0
AXISBANK.NS,0.0
BAJAJ-AUTO.NS,0.0
BAJAJFINSV.NS,0.0
BAJFINANCE.NS,0.0
BEL.NS,0.0053
BHARTIARTL.NS,0.0
BPCL.NS,0.0
BRITANNIA.NS,0.0
CIPLA.NS,0.0
COALINDIA.NS,0.0
CPSEETF.NS,0.0
DIVISLAB.NS,0.0
DRREDDY.NS,0.0
EICHERMOT.NS,0.0139
GOLDBEES.NS,0.508
GRASIM.NS,0.0
HCLTECH.NS,0.0
HDFCBANK.NS,0.0
HDFCLIFE.NS,0.0
HEROMOTOCO.NS,0.0012
HINDALCO.NS,-0.0
HINDUNILVR.NS,0.0
ICICIBANK.NS,0.0
INDUSINDBK.NS,0.0
INFY.NS,0.0
ITC.NS,0.0
JSWSTEEL.NS,0.0
KOTAKBANK.NS,0.0
LIQUIDBEES.NS,0.4427
LT.NS,0.0
M&M.NS,0.0134
MARUTI.NS,0.0
NESTLEIND.NS,0.0
NTPC.NS,0.0
ONGC.NS,0.0
POWERGRID.NS,0.0059
RELIANCE.NS,0.0
SBILIFE.NS,0.0
SBIN.NS,0.0044
SHRIRAMFIN.NS,0.0
SUNPHARMA.NS,0.0
TATASTEEL.NS,0.0
TCS.NS,0.0
TECHM.NS,0.0
TITAN.NS,0.0
TRENT.NS,0.0
ULTRACEMCO.NS,0.0
WIPRO.NS,0.0
